,calls,clauses,epochs,ind_vars,models,samples,time,time*,tu/tq,ug_samples,valid,vars
malta_mips32_4kc,39.0,3213.0,0.0,0.0,904717463342496626698141478860019437880466231273079767644972828384336994195767648518643229053352714446689454709801564534939600,613844.0,23.2,990.3,0.0,0.0,0.915,1232.0
prpmc1100,37.0,3754.0,0.0,0.0,2386778324100711142791871438138773912866941091001368241150242782983181574983949615934433403698530961217489729564871837032400,537632.0,31.1,1095.0,0.0,0.0,0.719,1223.0
vrc4373,34.0,3104.0,0.0,0.0,509202409351894384285344147255617833487806233566421006364429917751432092157791081685490725093591442268803624392950818649034750107600,535147.0,43.8,1567.7,0.0,0.0,0.525,1247.0
olpch2294,38.0,3851.0,0.0,0.0,195289070242314919154839742540973748175139734460950152748442426296005177330497768891648939136540121047105574996278082140112400,579837.0,29.3,1065.0,0.0,0.0,0.772,1261.0
picasso,36.0,3808.0,0.0,0.0,180467710867440004363227345494024270069218483617721085776039786849563753273932382276755133730829350283193871551738684677382000,512385.0,35.0,1265.7,0.0,0.0,0.65,1248.0
ec555,41.0,3169.0,0.0,0.0,13243342091091349013740456510305446812601566693292052188340222569008436541387491653746527129270479550058061198134769253084025450127280,501396.0,30.6,1119.0,0.0,0.0,0.768,1267.0
stdeval1,37.0,3049.0,0.0,0.0,2165559830176251018434195838843725299641678774309162467789568310548326364114375745009507837070374853672884824543029364240,576792.0,25.8,991.4,0.0,0.0,0.814,1190.0
m5272c3,36.0,3297.0,0.0,0.0,236757456339671212343440515250085432063359623357232316062924436259830130424626561012504701024010470939571791003895046764699600,560636.0,36.2,1317.6,0.0,0.0,0.675,1323.0
dreamcast,36.0,3168.0,0.0,0.0,1092332618565423848974055832076369499519871106842678867145924945191427355610618517231560159719131013060082641211227561730000,581903.0,30.8,1109.8,0.0,0.0,0.752,1252.0
XSEngine,37.0,3803.0,0.0,0.0,20465746440382087936529912643590977513970082939999139929055557568916492561530302110679412575402722502373941138017801081294493092560800,571987.0,35.5,1286.1,0.0,0.0,0.641,1260.0
aim711,41.0,3873.0,0.0,0.0,18228676455213467398636827248933537472165275245806763164058682765391450510047032030613764564732647863862705341954389059319455600,611650.0,23.9,936.6,0.0,0.0,0.936,1264.0
p2106,38.0,3824.0,0.0,0.0,37128091317744599575402179011383874999037121164929894272124153053569906046091105256246897401347676166648033913021227632428560,595044.0,30.0,1106.8,0.0,0.0,0.756,1249.0
integrator_arm9,41.0,50606.0,0.0,0.0,4058359009533639626886272534103178164739667387222518335105568636716329870954191014758144927057614850667504086770471219270128181200,617111.0,31.5,2054.4,0.0,0.0,0.821,1267.0
uClinux-config,64.0,31637.0,0.0,0.0,7780282347582666916383256525305848268983388653773604443522724031173853171741350594741933711614492676688024705667255837733502753004263416838313034391491978486251776346951575311035705022431463136163671302414562327132408269309241241919789018483288275016458309681886328452290746870938593939271535287735536730704699149530524986444246253774862429009330952716954822585345411917760300627575906229678240454357811200000000000000,1149017.0,157.0,11948.2,0.0,0.0,1.0,11254.0
toybox,37.0,1020.0,0.0,68.0,144991790900969472,1075381.0,3.6,59.7,0.0,0.0,0.898,544.0
