,calls,clauses,epochs,ind_vars,models,samples,time,time*,tu/tq,ug_samples,valid,vars
olpce2294,43.0,3881.0,0.0,0.0,8187965460549119231483396615787248158155368266800312424131065943440817252513126522783934300430301226732870028793150127339472400,1073960.0,29.7,1172.8,0.0,0.0,0.744,1274.0
edb7xxx,42.0,3812.0,0.0,0.0,478426496527527699866411782554016237250999711266131198240638284095447468947587294033608856796773329665851331156824514551554000,1090546.0,31.7,1253.2,0.0,0.0,0.659,1246.0
cerf,42.0,3910.0,0.0,0.0,13517380849035549984133433855441897389024065422096840375648325003913735936262208497370841560707920219740803238286737754714801680,1049559.0,29.1,1158.1,0.0,0.0,0.756,1276.0
pc_usb_d12,42.0,3231.0,0.0,0.0,724452282191257697925950255124676789700121100521243776612492564151679325233456347634342026774701911898210973883682402307363995200,1039254.0,26.6,1094.0,0.0,0.0,0.801,1281.0
rattler,42.0,3245.0,0.0,0.0,36341626046422703236831871790118932415798304939773441134257593815342372005014801142991753639770339443168932617021526200331411648968859600,1145081.0,25.8,1093.8,0.0,0.0,0.838,1311.0
ocelot,42.0,3141.0,0.0,0.0,122441612328434146014271827087725216118314573136837313901043927002510603381677819088486712277009703791662454004124699022669165341646800,1115718.0,29.7,1133.0,0.0,0.0,0.741,1266.0
sparc_leon,45.0,2972.0,0.0,0.0,31506117330638209963044978072983956210771703423518162467137502207143887426026525283299774751701910447997211646995406800,1091685.0,22.6,849.6,0.0,0.0,0.927,1168.0
h8max,43.0,3072.0,0.0,0.0,10588503140580352230926076592226742459237633650583869306140944613374558394550413165812316262700935576476203163298719860240,1144450.0,28.1,1046.2,0.0,0.0,0.743,1202.0
calm16_ceb,44.0,2990.0,0.0,0.0,77674052529377392824747553600935813078433450659822055905519707522967392202246841496570076051609082173630985952799694800,1208536.0,24.5,922.8,0.0,0.0,0.826,1173.0
eb42,45.0,3779.0,0.0,0.0,10778928877792452073414800187504526535761802837949843158387276285440959828367094357964748747967231470914611531681461362434000,1152371.0,25.8,1020.2,0.0,0.0,0.806,1234.0
atlas_mips64_5kc,40.0,3066.0,0.0,0.0,1205470172356025104091225414499057876161751291400577044446204675273807613594372971288133343686292224181967372709277287784400,1043108.0,30.1,1123.3,0.0,0.0,0.703,1209.0
skmb91302,41.0,3052.0,0.0,0.0,104312279024946648529579719389894914749805492806872926786255139150569324938023942426100590625779291362117549733753132119206862800,1114742.0,30.3,1135.9,0.0,0.0,0.687,1217.0
mace1,42.0,3770.0,0.0,0.0,656138321259525538341752693748935312699763422251791867946687820763865319989865255405956422922846320061568854804405062352800,1094182.0,32.8,1196.1,0.0,0.0,0.671,1234.0
asb2305,45.0,3101.0,0.0,0.0,417249116727316090205005399204764707883643421972750615289264896973400390796333614668161893899033813538075537981222563862549045200,1096572.0,26.5,1024.4,0.0,0.0,0.813,1242.0
hs7729pci,41.0,49911.0,0.0,0.0,3313750866449934157711102362307707370730013504181374498671821304927844522358210222283687281791452902987656603872069222909733800425680,1053264.0,30.2,2084.4,0.0,0.0,0.799,1298.0
e7t,47.0,3816.0,0.0,0.0,119421541019806147825183596924748089633987033266919933380102984983069458246702346871860005508038038104228992809536990926956809399246800,1166716.0,27.6,1063.5,0.0,0.0,0.811,1266.0
phycore,43.0,3852.0,0.0,0.0,32396704602647204579105770930681366361382204874293719652382487586910643207547033036249261219805630738357204504951593519643843764422160,1037649.0,29.8,1201.9,0.0,0.0,0.722,1274.0
innovator,42.0,50452.0,0.0,0.0,2273145273507107056962066084852614399147351244695680545974036427308723521009155401246295718557035373854925705734955987869924620443600,1023039.0,34.5,2386.5,0.0,0.0,0.687,1256.0
aeb,44.0,3767.0,0.0,0.0,62158656929883822819223168371063334073112422574166716896263360452573809665338057776443957907814576080520402364611609757200,1054316.0,26.9,1033.8,0.0,0.0,0.777,1213.0
h8300h_sim,45.0,3001.0,0.0,0.0,126024469283361873384607583754956414503940294936791222380108890012274328010073888669496725421228478394457674641589608400,1209660.0,25.2,926.5,0.0,0.0,0.816,1182.0
adder,42.0,3201.0,0.0,0.0,98826262955116540654594658579507080173060213668622411355372612317123327888583768001824579847667155986221756840403183315918800,1003746.0,32.8,1255.5,0.0,0.0,0.676,1272.0
cq7750,41.0,3173.0,0.0,0.0,2518121474204249998829150709974012764071762486950219669883634416585276298253070152359575299071609704599530362962861509907504898000,1037954.0,28.6,1035.0,0.0,0.0,0.818,1267.0
ixdp425,42.0,3799.0,0.0,0.0,5961867833919365735034150862406148213485309229287867507440217575407752384139068980981149214343329000701690538879366080912138000,1047677.0,31.5,1158.8,0.0,0.0,0.691,1247.0
mbx,42.0,3218.0,0.0,0.0,30860278645716549050008348639103305320703930725029295269037490742849701684856040114654709023248139647629277763023893050741496930050000,1051169.0,33.8,1370.9,0.0,0.0,0.645,1295.0
ts6,40.0,3235.0,0.0,0.0,2912181243739972266287508365657611660488448454974248661362563895749885749951515776635166845237087694052687786984385768722997200,1027626.0,33.9,1364.3,0.0,0.0,0.634,1240.0
se77x9,40.0,49937.0,0.0,0.0,1200265594774990608550731701975282871464646051037606205645930676015365011378925415215241481887501187395620751271333018543518429649831440,1086763.0,33.9,2384.2,0.0,0.0,0.71,1319.0
eb40a,43.0,3817.0,0.0,0.0,25147921194104289081422785250166499903471452406970580431744330836041112805102287373083319107327856107961979016363631373714960,1036819.0,28.1,1098.1,0.0,0.0,0.747,1241.0
moab,41.0,3249.0,0.0,0.0,379666901198252663563619375285898027128788322645729182508895219614590845735121728866694659835279362331261715014602268805392850800,1062191.0,29.4,1133.1,0.0,0.0,0.77,1277.0
cma28x,46.0,3051.0,0.0,0.0,237571694265206578398272984004753070612681264821053916092117830551623372687358228936028174075111455698884683837312681320400,1151940.0,25.4,998.7,0.0,0.0,0.804,1204.0
cma230,46.0,3739.0,0.0,0.0,64076805638099426950275095315453046671350532231182612722856654516388970320712427884645443016035081597332176989650136014800,1077300.0,25.0,934.5,0.0,0.0,0.873,1212.0
assabet,42.0,3883.0,0.0,0.0,152853697984254201014402699642298966564953892233299684921889093208516193607343523039508596478335101108992647510691895997105680,1007657.0,28.9,1111.7,0.0,0.0,0.74,1266.0
cq7708,41.0,49770.0,0.0,0.0,51632591949862962870965714318139690247780442097065084782883126917457806259452982946007598820610727520443635560439380123600,1119432.0,29.7,1995.8,0.0,0.0,0.766,1238.0
jtst,43.0,3818.0,0.0,0.0,15121495998831275484303312519507700915812019053404952348611125346766591260751909136987237623638136113369179343923959701702160,1132636.0,29.3,1111.1,0.0,0.0,0.732,1241.0
edosk2674,43.0,3034.0,0.0,0.0,2735979535162214275872617440867927650740675093937014520704125793465505128048586378796672549783375302824430352565028200400,1174512.0,28.3,1021.1,0.0,0.0,0.766,1194.0
mcb2100,42.0,3824.0,0.0,0.0,37128091317744599575402179011383874999037121164929894272124153053569906046091105256246897401347676166648033913021227632428560,1133263.0,33.3,1247.0,0.0,0.0,0.647,1249.0
FM-3.6.1-refined,539.0,104.0,13.0,0.0,26256,1001212.0,27.9,84.4,0.0,0.0,0.118,45.0
jmr3904,42.0,3035.0,0.0,0.0,47354958312017322187228635727719974166304448979757988173393495286576728031716214990221104849307102146718648692817347944400,1043680.0,25.7,1012.2,0.0,0.0,0.797,1199.0
sh4_202_md,41.0,3196.0,0.0,0.0,1831985071449466301122500734320222066104859279897997798221604629080230532814473797854805137229361515529426106684096411803600,1160410.0,30.3,1224.2,0.0,0.0,0.7,1258.0
ts1000,42.0,3218.0,0.0,0.0,118361099864133368335893344823291925477293669397491848887403311585650164219038394202109349298466472401038410185296506799430523661262800,1160176.0,35.1,1358.5,0.0,0.0,0.627,1297.0
mpc50,44.0,3728.0,0.0,0.0,316818483246099070636442057895105145169997873993253227083452146389485344614942176987041410743067758746760315419633919082400,1006608.0,25.4,982.2,0.0,0.0,0.823,1213.0
integrator_arm7,46.0,3939.0,0.0,0.0,901857533767702059117370585265472680719171057196169588605434453774884930761461897145120625101012999415684092343888848361650331600,1167621.0,28.0,1098.8,0.0,0.0,0.801,1259.0
pc_i82544,46.0,3179.0,0.0,0.0,18367814290425503114723451651257356017633017579421835008043105119613367523180219552613565893879479893504723853951616378459430800,1159521.0,25.2,1014.6,0.0,0.0,0.872,1259.0
tx39_sim,39.0,2988.0,0.0,0.0,682632541893845669089365150548794224452599778292732575200940395975820255893908361943767657141773822968058178943088795600,1026952.0,30.2,1157.4,0.0,0.0,0.662,1179.0
at91sam7xek,43.0,3963.0,0.0,0.0,944851128754377944722173411804677661023530935654438424344672651367814009925738975686878368133920363477224489048817708604038128340000,1200366.0,32.8,1233.0,0.0,0.0,0.71,1319.0
mac7100evb,44.0,3770.0,0.0,0.0,656138321259525538341752693748935312699763422251791867946687820763865319989865255405956422922846320061568854804405062352800,1127625.0,32.2,1181.1,0.0,0.0,0.682,1234.0
psim,45.0,2995.0,0.0,0.0,13453112094617398415824934984913073033840711698308292670109074570535666450360752126123266769824474558845382956879372034000,1127703.0,26.1,980.2,0.0,0.0,0.787,1181.0
refidt334,40.0,3140.0,0.0,0.0,294575358478648842704374033460264452399286928994694689355130992870865151358349143876534835618239744081736380850022839784205694249934800,1104609.0,28.9,1212.7,0.0,0.0,0.731,1263.0
smdk2410,42.0,50468.0,0.0,0.0,223804820883005219565977860540053812602475717896702621083241556676403615795832679166174675586852816805135269998167440236804077723600,1000881.0,35.4,2445.7,0.0,0.0,0.688,1265.0
stb,45.0,3146.0,0.0,0.0,6678736955779285254576571229859069961143864687253250411692331600152969267328120629990560687811254290499954579278975767895739467280,1120446.0,27.6,1086.6,0.0,0.0,0.786,1252.0
atlas_mips32_4kc,42.0,3078.0,0.0,0.0,3013701685987860064828848058190827006407190355575026137793342728602704323214520149685823964126844222191824351059589075509200,1146650.0,27.9,1095.2,0.0,0.0,0.751,1216.0
sparclite_sim,41.0,2972.0,0.0,0.0,31506117330638209963044978072983956210771703423518162467137502207143887426026525283299774751701910447997211646995406800,1101732.0,29.8,1144.4,0.0,0.0,0.662,1168.0
iq80321,45.0,3820.0,0.0,0.0,25342626898430201909824329699786272403618712379659083100337068167210327619953868157130973975243435088456482831588702239533014800,1134078.0,25.4,965.1,0.0,0.0,0.886,1256.0
ebsa285,42.0,3832.0,0.0,0.0,3688603299487618113601732503339929355329022335243900478763427492313697194171114567986090215817304761845718711970554095739078160,1063461.0,29.3,1141.5,0.0,0.0,0.722,1245.0
adderII,44.0,3206.0,0.0,0.0,357233331438474273590626824681565857027641819540954698027428669566207833086768331792060153109444189191294237070396678187982800,1090733.0,31.2,1259.8,0.0,0.0,0.706,1276.0
at91sam7sek,43.0,3921.0,0.0,0.0,25892172695631707467339544510355380330925246273138094412939752157280397331800857701433969660218983783924368850353132622389972000,1076552.0,30.9,1128.3,0.0,0.0,0.745,1296.0
calm32_ceb,42.0,2990.0,0.0,0.0,77674052529377392824747553600935813078433450659822055905519707522967392202246841496570076051609082173630985952799694800,1164121.0,27.4,1010.1,0.0,0.0,0.758,1173.0
malta_mips32_4kc,40.0,3213.0,0.0,0.0,904717463342496626698141478860019437880466231273079767644972828384336994195767648518643229053352714446689454709801564534939600,1075734.0,30.7,1293.7,0.0,0.0,0.677,1232.0
prpmc1100,42.0,3754.0,0.0,0.0,2386778324100711142791871438138773912866941091001368241150242782983181574983949615934433403698530961217489729564871837032400,1025772.0,31.8,1176.8,0.0,0.0,0.66,1223.0
vrc4373,40.0,3104.0,0.0,0.0,509202409351894384285344147255617833487806233566421006364429917751432092157791081685490725093591442268803624392950818649034750107600,1067364.0,30.2,1154.9,0.0,0.0,0.699,1247.0
olpch2294,45.0,3851.0,0.0,0.0,195289070242314919154839742540973748175139734460950152748442426296005177330497768891648939136540121047105574996278082140112400,1049907.0,26.4,1001.3,0.0,0.0,0.853,1261.0
picasso,44.0,3808.0,0.0,0.0,180467710867440004363227345494024270069218483617721085776039786849563753273932382276755133730829350283193871551738684677382000,1003629.0,28.1,1107.2,0.0,0.0,0.793,1248.0
ec555,48.0,3169.0,0.0,0.0,13243342091091349013740456510305446812601566693292052188340222569008436541387491653746527129270479550058061198134769253084025450127280,1062215.0,25.9,1008.7,0.0,0.0,0.849,1267.0
stdeval1,42.0,3049.0,0.0,0.0,2165559830176251018434195838843725299641678774309162467789568310548326364114375745009507837070374853672884824543029364240,1129016.0,26.9,991.9,0.0,0.0,0.771,1190.0
m5272c3,43.0,3297.0,0.0,0.0,236757456339671212343440515250085432063359623357232316062924436259830130424626561012504701024010470939571791003895046764699600,1047439.0,31.1,1190.1,0.0,0.0,0.754,1323.0
dreamcast,41.0,3168.0,0.0,0.0,1092332618565423848974055832076369499519871106842678867145924945191427355610618517231560159719131013060082641211227561730000,1127845.0,26.9,1117.7,0.0,0.0,0.775,1252.0
XSEngine,42.0,3803.0,0.0,0.0,20465746440382087936529912643590977513970082939999139929055557568916492561530302110679412575402722502373941138017801081294493092560800,1174443.0,32.7,1266.0,0.0,0.0,0.656,1260.0
aim711,44.0,3873.0,0.0,0.0,18228676455213467398636827248933537472165275245806763164058682765391450510047032030613764564732647863862705341954389059319455600,1107607.0,29.5,1103.2,0.0,0.0,0.771,1264.0
p2106,43.0,3824.0,0.0,0.0,37128091317744599575402179011383874999037121164929894272124153053569906046091105256246897401347676166648033913021227632428560,1028172.0,28.6,1096.9,0.0,0.0,0.763,1249.0
integrator_arm9,46.0,50606.0,0.0,0.0,4058359009533639626886272534103178164739667387222518335105568636716329870954191014758144927057614850667504086770471219270128181200,1056238.0,28.6,1916.6,0.0,0.0,0.847,1267.0
